"item","itemLabel","itemDescription"
"http://www.wikidata.org/entity/Q463978","Gabriele Münter","German painter (1877-1962)"
"http://www.wikidata.org/entity/Q464044","Katherine Sophie Dreier","American artist (1877-1952)"
"http://www.wikidata.org/entity/Q465342","Wifredo Lam","Cuban artist (1902-1982)"
"http://www.wikidata.org/entity/Q465618","Jeanne Rij-Rousseau","artist (1870-1956)"
"http://www.wikidata.org/entity/Q468816","Graciela Iturbide","Mexican photographer (born 1942)"
"http://www.wikidata.org/entity/Q469449","Ruth Orkin","American photographer and filmmaker (1921-1985)"
"http://www.wikidata.org/entity/Q470423","Theodoros Stamos","American artist (1922-1997)"
"http://www.wikidata.org/entity/Q471764","Thomas Hart Benton","American painter (1889-1975)"
"http://www.wikidata.org/entity/Q472025","Jacob van Oost the Younger","Flemish Baroque painter (1637-1713)"
"http://www.wikidata.org/entity/Q302714","Aaron Siskind","American photographer (1903-1991)"
"http://www.wikidata.org/entity/Q262771","Michael Wolgemut","German painter and printmaker (1434–1519)"
"http://www.wikidata.org/entity/Q299662","Carolee Schneemann","American visual experimental artist (1939–2019)"
"http://www.wikidata.org/entity/Q347699","Claude Perrault","French architect and doctor of medicine"
"http://www.wikidata.org/entity/Q271676","Charles Le Brun","17th-century French painter and art theorist (1619—1690)"
"http://www.wikidata.org/entity/Q316422","Hector Guimard","French architect (1867–1942)"
"http://www.wikidata.org/entity/Q313055","Alfred Stieglitz","American photographer (1864–1946)"
"http://www.wikidata.org/entity/Q334914","Mark Catesby","English naturalist, painter and etcher (1683–1749)"
"http://www.wikidata.org/entity/Q326606","Paul Sérusier","French painter (1864–1927)"
"http://www.wikidata.org/entity/Q375783","Joseph Vivien","French painter, portraitist and pastelist (1657-1734)"
"http://www.wikidata.org/entity/Q459665","Ambrosius Bosschaert","Flemish-Dutch flower painter (1573-1621)"
"http://www.wikidata.org/entity/Q1288359","Félix González-Torres","American conceptual artist (1957–1996)"
"http://www.wikidata.org/entity/Q874868","Godfried Schalcken","painter from the Northern Netherlands (1643-1706)"
"http://www.wikidata.org/entity/Q877923","Johann Evangelist Holzer","Austrian artist (1709-1740)"
"http://www.wikidata.org/entity/Q918268","Maxime Du Camp","French photographer and writer"
"http://www.wikidata.org/entity/Q918859","Marco Basaiti","Italian painter (1470-1530)"
"http://www.wikidata.org/entity/Q920115","Girolamo Genga","Italian renaissance painter (1476-1551)"
"http://www.wikidata.org/entity/Q927350","Jacopo de' Barbari","Italian painter and engraver (1460-1516)"
"http://www.wikidata.org/entity/Q930831","Francesco Pesellino","Italian painter (1422-1457)"
"http://www.wikidata.org/entity/Q935877","Carlo Pellegrini","caricaturist (1839-1889)"
"http://www.wikidata.org/entity/Q937911","Aleksander Orłowski","Polish artist Russian artist (1777-1832)"
"http://www.wikidata.org/entity/Q938424","Károly Escher","Hungarian cinematographer and photographer"
"http://www.wikidata.org/entity/Q946487","François-Hubert Drouais","French painter (1727-1775)"
"http://www.wikidata.org/entity/Q949492","Jan Janssonius","Dutch cartographer and publisher"
"http://www.wikidata.org/entity/Q949700","George du Maurier","French-British cartoonist and author (1834-1896)"
